ReviewNo,JJP,RBP,JJN,RBN,Polarity,New_sentiment,WordCount,Sentiment
124,0,0,1,0,-1.0825,neg,78,Negative
125,3,2,3,0,0.082559524,pos,65,Neutral
126,9,0,8,3,0.409166667,pos,246,Positive
127,0,0,3,1,-0.174761905,neg,71,Neutral
128,5,5,1,0,4.04702381,pos,104,Positive
129,1,2,1,0,-0.515833333,neg,78,Negative
130,5,0,1,0,3.319642857,pos,115,Positive
131,6,5,4,1,3.034583333,pos,237,Positive
132,1,0,1,0,-0.03125,neg,86,Neutral
133,0,0,2,0,-0.713474026,neg,73,Negative
134,2,0,2,0,0.875141723,pos,118,Positive
135,7,2,7,2,1.557530664,pos,218,Positive
136,1,0,0,0,0.262132937,pos,63,Positive
137,2,1,3,0,0.655601852,pos,145,Positive
138,7,2,2,0,3.19610119,pos,160,Positive
139,3,3,3,1,2.110555556,pos,167,Positive
140,2,4,5,1,0.554791667,pos,236,Positive
141,2,1,7,0,-0.483350088,neg,161,Negative
142,2,3,7,1,-1.421751701,neg,282,Negative
143,1,1,0,0,0.154166667,pos,52,Neutral
144,4,0,5,0,-0.242283951,neg,140,Negative
145,9,0,1,1,3.351607143,pos,164,Positive
146,5,0,3,1,0.697222222,pos,122,Positive
147,8,2,3,0,0.761123321,pos,171,Positive
148,2,2,1,1,-0.216073232,neg,62,Negative
149,1,2,7,3,-1.215,neg,156,Negative
150,3,1,0,0,1.487222222,pos,95,Positive
151,3,0,4,0,1.339236111,pos,101,Positive
152,1,0,2,0,0.798690476,pos,98,Positive
153,3,1,6,0,0.805270563,pos,119,Positive
154,1,0,3,0,-0.385,neg,105,Negative
155,0,0,2,0,-0.197916667,neg,51,Neutral
156,12,3,12,3,1.790357143,pos,457,Positive
157,5,4,0,0,4.2625,pos,87,Positive
158,7,1,0,1,1.776666667,pos,78,Positive
159,6,2,2,0,0.718030303,pos,57,Positive
160,5,0,3,0,2.658333333,pos,31,Positive
